iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
50	50248	15428	15428	0	6994	0	0	7027	0	0	10885	0	0	7526	0	0	2388	0	15428	50248
51	50248	15434	15434	0	6993	0	0	7042	0	0	10891	0	0	7504	0	0	2384	0	15434	50248
52	50248	15442	15442	0	6993	0	0	7026	0	0	10889	0	0	7514	0	0	2384	0	15442	50248
53	50248	15432	15432	0	6999	0	0	7043	0	0	10905	0	0	7504	0	0	2365	0	15432	50248
54	50248	15445	15445	0	6989	0	0	7047	0	0	10894	0	0	7505	0	0	2368	0	15445	50248
55	50248	15453	15453	0	6985	0	0	7045	0	0	10888	0	0	7509	0	0	2368	0	15453	50248
56	50248	15463	15463	0	6959	0	0	7049	0	0	10896	0	0	7517	0	0	2364	0	15463	50248
57	50248	15457	15457	0	6958	0	0	7048	0	0	10905	0	0	7509	0	0	2371	0	15457	50248
58	50248	15455	15455	0	6962	0	0	7022	0	0	10931	0	0	7503	0	0	2375	0	15455	50248
59	50248	15458	15458	0	6951	0	0	7039	0	0	10930	0	0	7500	0	0	2370	0	15458	50248
60	50248	15471	15471	0	6949	0	0	7055	0	0	10930	0	0	7481	0	0	2362	0	15471	50248
61	50248	15469	15469	0	6959	0	0	7033	0	0	10952	0	0	7485	0	0	2350	0	15469	50248
62	50248	15464	15464	0	6953	0	0	7042	0	0	10965	0	0	7475	0	0	2349	0	15464	50248
63	50248	15471	15471	0	6955	0	0	7011	0	0	10991	0	0	7461	0	0	2359	0	15471	50248
64	50248	15491	15491	0	6936	0	0	7026	0	0	10986	0	0	7457	0	0	2352	0	15491	50248
