iter	MultiClass
0	1.734795961
1	1.680660966
2	1.627988148
3	1.58505886
4	1.545744658
5	1.505951378
6	1.469256198
7	1.433175605
8	1.396909939
9	1.368503519
10	1.335744988
11	1.303186998
12	1.27452263
13	1.248639918
14	1.222457319
15	1.196792795
16	1.174447065
17	1.15057772
18	1.129307572
19	1.109487837
20	1.089080639
21	1.070334525
22	1.052166181
23	1.033757099
24	1.01612611
25	1.000289102
26	0.9835895802
27	0.9673856932
28	0.9523323329
29	0.9391966988
30	0.9260220674
31	0.9111346087
32	0.8978019732
33	0.8838904797
34	0.8726913077
35	0.8610874035
36	0.848781495
37	0.8376310696
38	0.8267990488
39	0.8158858745
40	0.8044680785
41	0.793267545
42	0.7829539257
43	0.7733705782
44	0.7619666164
45	0.7513854087
46	0.742025097
47	0.7331270875
48	0.724294981
49	0.7154538333
50	0.7067003205
51	0.6988761504
52	0.6901717653
53	0.682815235
54	0.6752650803
55	0.6678854022
56	0.6604441783
57	0.6528818233
58	0.6455050864
59	0.6390356882
60	0.6309762277
61	0.6239135926
62	0.6165537944
63	0.6094176855
64	0.602687725
65	0.5967108573
66	0.5907208635
67	0.5848706278
68	0.5794064428
69	0.5740176379
70	0.568128405
71	0.5626415079
72	0.5575195833
73	0.5527820754
74	0.5475411984
75	0.5424389903
76	0.5375211475
77	0.5319037514
78	0.5284591972
79	0.5237146088
80	0.5183529276
81	0.5137829552
82	0.5089855899
83	0.5041816887
84	0.5002525015
85	0.4958272436
86	0.4916804673
87	0.4882076456
88	0.4845124417
89	0.480079831
90	0.4768893578
91	0.4723301151
92	0.4681785458
93	0.4642384656
94	0.4605792088
95	0.4575892227
96	0.4544245662
97	0.4512638311
98	0.4476354018
99	0.4444351793
100	0.4404807202
101	0.4371763327
102	0.4334644079
103	0.4301395414
104	0.4273793175
105	0.4242890606
106	0.4217248849
107	0.4187329108
108	0.4163869506
109	0.4135548052
110	0.4111584918
111	0.4079025784
112	0.40458708
113	0.4021012254
114	0.4001311581
115	0.3979710066
116	0.3955419594
117	0.3926710891
118	0.3904522239
119	0.3883640484
120	0.3854843002
121	0.3829087139
122	0.3805052928
123	0.3784559238
124	0.3757552034
125	0.3734154795
126	0.3711997188
127	0.3693254016
128	0.367722322
129	0.3649816512
130	0.3623395082
131	0.3605755651
132	0.3591901564
133	0.3570025543
134	0.3550759776
135	0.3536559289
136	0.3514148146
137	0.3498853177
138	0.3477910965
139	0.3461210789
140	0.3440337749
141	0.3419976955
142	0.3402430659
143	0.3386294745
144	0.3366810299
145	0.3351088322
146	0.3337222252
147	0.3323386139
148	0.3306464017
149	0.3294753415
150	0.3274017899
151	0.3255751844
152	0.323713721
153	0.3217728743
154	0.3197242679
155	0.317995346
156	0.3164888063
157	0.3151316379
158	0.3130380976
159	0.3114703932
160	0.3099088435
161	0.3084060891
162	0.3070832611
163	0.3058144356
164	0.3044953385
165	0.3031760235
166	0.3021254407
167	0.3008458311
168	0.2991962925
169	0.2978808446
170	0.2968381593
171	0.2958953907
172	0.2945031739
173	0.2933984253
174	0.2926339219
175	0.2920726834
176	0.2908859372
177	0.2902635885
178	0.2886298721
179	0.2875569858
180	0.2866995917
181	0.2855895055
182	0.2847535981
183	0.2837602584
184	0.2824597612
185	0.2816925891
186	0.2807547497
187	0.2795253571
188	0.2782445764
189	0.2770900192
190	0.2758146578
191	0.2746474374
192	0.273582503
193	0.2726377465
194	0.271670523
195	0.2704060002
196	0.2697490932
197	0.2689036543
198	0.2681863452
199	0.2671534093
200	0.2660516563
201	0.2648454387
202	0.2638198283
203	0.262970359
204	0.2620414246
205	0.2608988771
206	0.2602293886
207	0.2590833008
208	0.2578659178
209	0.2569569178
210	0.255718375
211	0.2546281414
212	0.2533277259
213	0.2524551905
214	0.2516446367
215	0.2506205241
216	0.2492508831
217	0.2484147033
218	0.2472818506
219	0.2466193337
220	0.2454387421
221	0.2444889475
222	0.2437966925
223	0.2431615717
224	0.242093451
225	0.2409430332
226	0.2400130096
227	0.2391945855
228	0.2386862329
229	0.2376273441
230	0.2368394207
231	0.2355720929
232	0.2348566629
233	0.2342681917
234	0.2336936908
235	0.2332114271
236	0.2323928941
237	0.2318363668
238	0.2312360766
239	0.2306978225
240	0.230081465
241	0.2289941725
242	0.2283071598
243	0.2276468215
244	0.2267894547
245	0.2262014737
246	0.2256148815
247	0.2250034667
248	0.224175307
249	0.2236001117
250	0.2227771806
251	0.2220407542
252	0.2214765473
253	0.2210400345
254	0.220382896
255	0.2194967034
256	0.2189952134
257	0.2185275191
258	0.2181991746
259	0.2177544103
260	0.2171624805
261	0.216821568
262	0.216358517
263	0.2156352303
264	0.2149686693
265	0.2145101253
266	0.2140376381
267	0.213401496
268	0.2129719139
269	0.2126529647
270	0.2122682621
271	0.2117997781
272	0.2113621896
273	0.2107334276
274	0.2100570492
275	0.2095702376
276	0.2090607684
277	0.2084994074
278	0.2077628311
279	0.2074620461
280	0.2070837023
281	0.2067185391
282	0.2063234064
283	0.2059454166
284	0.2052569606
285	0.2048097726
286	0.2044361264
287	0.2035731769
288	0.2029568466
289	0.2026358685
290	0.2022264522
291	0.2017485594
292	0.2012980081
293	0.2005630522
294	0.1998360755
295	0.1992389035
296	0.1989936595
297	0.1988017371
298	0.1982587172
299	0.1976526537
